Country,Type,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
China,Production,19.53949852,19.3586248,20.4365534,21.85772896,23.91805068,26.2841124,27.06847254,28.0441804,29.37804595,31.1969355,31.87634411,32.12976847,32.90884596,34.0498831,36.2147161,37.95612721,40.03110408,39.42453815,39.05946938,38.82117442,41.26159736,44.01149686,46.20261587,52.76438904,60.32713528,66.77994159,72.18679578,77.52232627,82.35228421,87.79799889,97.06171152,104.9843939,111.0358183,113.412023,114.9168071,114.4000157,108.148124,112.0666486,118.0477756,123.8392488,127.0019925,134.9641885
China,Coal,13.81130502,13.84448921,14.83979224,15.91349014,17.57715396,19.42678289,19.91140571,20.66974243,21.82294876,23.47725866,24.03738108,24.148292,24.82244333,25.64269418,27.38297117,28.77871163,30.39936963,29.51522251,29.01554431,28.60399352,30.8275079,32.77272272,34.5293402,40.8654729,47.27317869,52.67473881,57.2311053,61.4662069,64.66244859,69.38280715,76.35577933,83.83864714,87.86290244,88.51308685,87.6313328,85.45220872,78.16571766,80.52921158,84.24842527,87.63471318,88.8529844,93.96390338
China,Natural Gas,0.581255,0.51795,0.438531,0.496081,0.504138,0.526007,0.557084,0.568594,0.565141,0.581255,0.584708,0.605426,0.613778232,0.64263783,0.6775937,0.69883842,0.827163257,0.931107521,0.954703238,1.033410343,1.005638769,1.118565544,1.204552272,1.265813203,1.504214173,1.842256416,2.159558513,2.556352202,2.806193467,3.10888151,3.484123162,3.791940885,3.830505748,4.165374232,4.556115637,4.903593812,5.010248968,5.384085084,5.866574968,6.362312406,6.94032413,7.520776194
China,Petroleum and other liquids,4.548402534,4.31836064,4.38823,4.548317545,4.93962864,5.37567274,5.622707295,5.7723,5.874871275,5.915624532,5.952548752,6.083447509,6.120905817,6.201041127,6.307230882,6.416157072,6.73775036,6.867411798,6.862767385,6.855935982,6.990412324,7.08126916,7.273639231,7.314880446,7.499404751,7.746467804,7.884044145,8.021216138,8.159838152,8.149939286,8.757404572,8.699481557,8.770693733,8.94225764,9.037614501,9.186617862,8.578725551,8.207669597,8.133682329,8.215247633,8.375406069,8.564289992
China,"Nuclear, renewables, and other",0.598535974,0.677824955,0.770000165,0.899840277,0.89713008,0.955649772,0.97727553,1.033543962,1.115084916,1.222797312,1.30170628,1.29260296,1.351718584,1.563509961,1.84692034,2.062420094,2.06682083,2.110796319,2.226454454,2.327834571,2.438038368,3.038939435,3.19508417,3.318222487,4.050337665,4.516478559,4.912087823,5.47855103,6.723803999,7.156370944,8.46440446,8.654324362,10.57171635,11.79130431,13.69174411,14.85759534,16.39343184,17.94568235,19.79909303,21.62697562,22.83327791,24.91521893
