Country,Type,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
India,Production,2.831065489,3.351098581,3.622626492,3.978040626,4.313333743,4.621527409,5.005184833,5.168480724,5.710538855,5.983208242,6.359633552,6.644605217,6.73029168,6.846687511,7.315337039,7.791584303,7.989516839,8.337670185,8.481676543,8.497559684,8.603314975,8.906086418,9.428562157,9.890642574,10.43205225,11.04714859,11.687568,12.14160195,12.47611653,12.87809461,14.01913378,14.43745832,14.41678944,14.63690671,15.11413031,15.47205032,16.38837035,16.83843337,17.85454039,18.32218117,17.96949161,18.98753264
India,Coal,1.873128816,2.044708332,2.177431649,2.289212238,2.492878943,2.587637293,2.860109017,3.07695525,3.354989737,3.453995179,3.699748905,4.011472962,4.170072428,4.276994743,4.419980273,4.695284368,4.965426296,5.152071297,5.183796243,5.223637444,5.396460191,5.641349736,5.879179914,6.240941446,6.619591702,7.026395163,7.424432598,7.887317831,8.102917391,8.185609487,8.618542867,8.787015946,9.087337591,9.283560737,9.79666376,10.32818759,11.08192467,11.25960329,12.03306657,12.33618563,12.16119423,12.81901373
India,Natural Gas,0.058701,0.073664,0.099947,0.119038,0.126899,0.151605,0.20718,0.261277,0.35681,0.362565,0.459249,0.516799,0.548742128,0.612142085,0.68327964,0.72231005,0.720089801,0.741268913,0.786548393,0.777784623,0.743094699,0.7328703,0.952329717,0.996878883,1.029743022,1.091819729,1.124683868,1.154728457,1.190588721,1.504504815,1.935261294,1.760740214,1.541849369,1.298555152,1.212477806,1.155203833,1.143261072,1.166111307,1.177993564,1.158082062,1.025481924,1.193945232
India,Petroleum and other liquids,0.38162,0.6802716,0.817199,1.005399,1.0916172,1.299828,1.325775,1.285223,1.3466324,1.480552919,1.396909324,1.302810279,1.223456202,1.166731277,1.308696485,1.549894476,1.499768663,1.553415797,1.534202682,1.515881297,1.506785135,1.511210413,1.583144162,1.585014614,1.634388175,1.582945417,1.638479763,1.636574075,1.639785548,1.609141642,1.765142093,1.82747059,1.823680103,1.807201298,1.793417173,1.772302119,1.735246609,1.743651984,1.706971023,1.618733949,1.516644787,1.466086134
India,"Nuclear, renewables, and other",0.517615673,0.55245465,0.528048844,0.564391388,0.6019386,0.582457116,0.612120816,0.545025474,0.652106718,0.686095144,0.803726323,0.813522976,0.788020922,0.790819406,0.90338064,0.824095408,0.804232078,0.890914178,0.977129225,0.98025632,0.956974951,1.020655969,1.013908364,1.067807631,1.148329349,1.345988282,1.499971771,1.462981588,1.542824866,1.578838667,1.700187531,2.062231572,1.963922376,2.247589523,2.31157157,2.216356781,2.42793799,2.669066787,2.936509235,3.209179527,3.266170678,3.508487539
